State Name,County Name,City Name,Latitude,Longitude,Year,CO,NO2,Temperature,Ozone,PM2.5,Humidity,SO2,Wind Speed
Alabama,Morgan,Decatur,34.530717,-86.967536,2015,,,,0.041492749999999995,8.791667,,,
Alabama,Morgan,Decatur,34.530717,-86.967536,2016,,,,0.046143250000000004,7.365,,,
Alabama,Morgan,Decatur,34.530717,-86.967536,2017,,,,0.042681750000000004,7.638261,,,
Alabama,Morgan,Decatur,34.530717,-86.967536,2018,,,,0.04260025,7.37438,,,
Alabama,Morgan,Decatur,34.530717,-86.967536,2020,,,,0.037575,8.015810592592592,,,
Alabama,Morgan,Decatur,34.530717,-86.967536,2021,,,,0.038663,8.671864259259259,,,
Alabama,Morgan,Decatur,34.530717,-86.967536,2022,,,65.850847,0.042917250000000004,8.158601,,,
Alabama,Morgan,Decatur,34.530717,-86.967536,2023,,,49.896962,0.045987,7.080258583333333,,,
Alabama,Morgan,Decatur,34.530717,-86.967536,2024,,,,0.044427999999999995,7.317051666666667,,,
Alabama,Morgan,Decatur,34.530717,-86.967536,2025,,,,0.04069025,6.9313910000000005,,,
Alabama,Russell,Ladonia,32.46735,-85.083447,2015,,,,0.0398025,,,,
Alabama,Russell,Ladonia,32.46735,-85.083447,2016,,,,0.044461,,,,
Alabama,Russell,Ladonia,32.46735,-85.083447,2017,,,,0.0416845,,,,
Alabama,Russell,Phenix City,32.437028,-84.999653,2017,,,,,11.02709353846154,,,
Alabama,Russell,Phenix City,32.437028,-84.999653,2018,,,,0.03896575,9.281403923076924,,,
Alabama,Russell,Phenix City,32.437028,-84.999653,2020,,,,0.03557925,8.43950876,,,
Alabama,Russell,Phenix City,32.437028,-84.999653,2021,,,,0.03754925,9.296055352941176,,,
Alabama,Russell,Phenix City,32.437028,-84.999653,2022,,,,0.04029725,8.765207,,,
Alabama,Russell,Phenix City,32.437028,-84.999653,2023,,,,0.04372575,9.398125658536586,,,
Alabama,Russell,Phenix City,32.437028,-84.999653,2024,,,,0.0415,8.264907000000001,,,
Alabama,Russell,Phenix City,32.437028,-84.999653,2025,,,,0.0383215,8.4103885,,,
Alabama,Russell,Phenix City,32.472136,-85.005028,2015,,,,,9.556747999999999,,,
Alabama,Russell,Phenix City,32.472136,-85.005028,2016,,,,,9.150812,,,
Alabama,Shelby,Calera,33.0928,-86.8072,2017,,,,,,,0.6590076,
Alabama,Shelby,Calera,33.0928,-86.8072,2018,,,,,,,1.2758720000000001,
